date_time,ambulance_dispatches,patient_count,dispatch_time,response_time
2025-01-02 14:30:00,4,4,43.24,400.42
2025-01-02 15:00:00,5,5,46.76,401.38
2025-01-02 15:30:00,4,4,46.46,449.98
2025-01-02 16:00:00,1,1,34.15,404.63
2025-01-02 16:30:00,3,3,47.15,401.94
2025-01-02 17:00:00,2,2,39.59,371.29
2025-01-02 17:30:00,2,2,37.04,370.78
2025-01-02 18:00:00,1,1,40.08,450.21
2025-01-02 18:30:00,2,2,43.08,449.48
2025-01-02 19:00:00,1,1,35.66,394.47
2025-01-02 19:30:00,1,1,34.2,341.41
2025-01-02 20:00:00,1,1,44.06,402.78
2025-01-02 20:30:00,1,1,34.76,456.79
2025-01-02 21:00:00,1,1,43.05,298.13
2025-01-02 21:30:00,1,1,38.83,337.52
2025-01-02 22:00:00,1,1,48.7,394.57
2025-01-02 22:30:00,1,1,37.43,380.63
2025-01-02 23:00:00,1,1,49.01,436.67
2025-01-02 23:30:00,1,1,34.98,387.57
2025-01-03 00:00:00,1,1,40.21,442.63
2025-01-03 00:30:00,1,1,41.34,434.37
2025-01-03 01:00:00,1,1,42.77,415.49
2025-01-03 01:30:00,1,1,34.6,363.06
2025-01-03 02:00:00,1,1,42.6,417.46
2025-01-03 02:30:00,1,1,43.39,427.63
2025-01-03 03:00:00,1,1,47.25,437.35
2025-01-03 03:30:00,1,1,40.37,432.85
2025-01-03 04:00:00,1,1,42.34,497.75
2025-01-03 04:30:00,1,1,40.57,427.66
2025-01-03 05:00:00,1,1,41.25,458.9
2025-01-03 05:30:00,1,1,41.52,405.97
2025-01-03 06:00:00,1,1,40.49,352.67
2025-01-03 06:30:00,1,1,46.53,394.68
2025-01-03 07:00:00,2,2,41.68,409.28
2025-01-03 07:30:00,1,1,46.05,351.43
2025-01-03 08:00:00,3,3,47.26,411.7
2025-01-03 08:30:00,2,2,39.73,379.93
2025-01-03 09:00:00,4,4,43.73,431.94
2025-01-03 09:30:00,5,5,44.14,442.03
2025-01-03 10:00:00,5,5,45.47,451.44
2025-01-03 10:30:00,2,2,36.5,495.63
2025-01-03 11:00:00,1,1,38.42,468.55
2025-01-03 11:30:00,4,4,41.68,354.66
2025-01-03 12:00:00,2,2,42.38,409.63
2025-01-03 12:30:00,3,3,40.02,438.4
2025-01-03 13:00:00,2,2,37.87,459.71
2025-01-03 13:30:00,5,5,37.68,483.01
2025-01-03 14:00:00,5,5,42.87,432.36
2025-01-03 14:30:00,2,2,49.09,449.06
2025-01-03 15:00:00,3,3,50.76,427.46
2025-01-03 15:30:00,2,2,39.03,474.68
2025-01-03 16:00:00,2,2,48.72,378.12
2025-01-03 16:30:00,5,6,41.45,374.99
2025-01-03 17:00:00,2,2,43.23,490.88
2025-01-03 17:30:00,1,1,50.27,361.43
2025-01-03 18:00:00,1,1,41.55,399.26
2025-01-03 18:30:00,3,3,38.43,414.44
2025-01-03 19:00:00,1,1,41.37,400.38
2025-01-03 19:30:00,1,1,42.16,432.28
2025-01-03 20:00:00,1,1,35.69,394.45
2025-01-03 20:30:00,1,1,41.85,347.69
2025-01-03 21:00:00,1,1,42.25,457.57
2025-01-03 21:30:00,1,1,46.21,445.11
2025-01-03 22:00:00,1,1,43.54,408.83
2025-01-03 22:30:00,1,1,42.81,417.22
2025-01-03 23:00:00,1,1,34.25,463.08
2025-01-03 23:30:00,1,1,37.2,432.74
2025-01-04 00:00:00,2,2,40.64,419.75
2025-01-04 00:30:00,2,2,43.16,523.26
2025-01-04 01:00:00,2,2,46.2,396.37
2025-01-04 01:30:00,1,1,39.65,345.81
2025-01-04 02:00:00,1,1,45.68,423.69
2025-01-04 02:30:00,1,1,42.15,367.93
2025-01-04 03:00:00,2,2,43.67,428.49
2025-01-04 03:30:00,2,2,35.68,440.96
2025-01-04 04:00:00,2,2,44.3,454.86
2025-01-04 04:30:00,1,1,44.86,440.19
2025-01-04 05:00:00,1,1,45.4,439.97
2025-01-04 05:30:00,2,2,39.68,463.0
2025-01-04 06:00:00,2,2,41.44,471.81
2025-01-04 06:30:00,3,3,43.0,511.71
2025-01-04 07:00:00,1,1,39.3,481.46
2025-01-04 07:30:00,3,3,42.54,494.63
2025-01-04 08:00:00,5,5,50.05,389.72
2025-01-04 08:30:00,2,2,45.52,505.02
2025-01-04 09:00:00,5,5,43.76,501.15
2025-01-04 09:30:00,3,3,52.7,455.28
2025-01-04 10:00:00,3,3,40.76,536.71
2025-01-04 10:30:00,4,4,49.42,463.85
2025-01-04 11:00:00,3,3,41.5,421.86
2025-01-04 11:30:00,6,6,44.88,443.14
2025-01-04 12:00:00,2,2,48.26,405.26
2025-01-04 12:30:00,5,5,40.97,543.93
2025-01-04 13:00:00,2,2,30.3,448.81
2025-01-04 13:30:00,6,6,47.41,517.15
2025-01-04 14:00:00,3,3,46.09,464.03
2025-01-04 14:30:00,2,2,36.81,494.31
2025-01-04 15:00:00,3,3,40.7,411.92
2025-01-04 15:30:00,5,6,48.81,491.52
2025-01-04 16:00:00,2,2,35.22,408.67
2025-01-04 16:30:00,4,5,43.94,397.14
2025-01-04 17:00:00,3,3,36.17,426.65
2025-01-04 17:30:00,3,3,50.71,563.96
2025-01-04 18:00:00,1,1,41.39,303.81
2025-01-04 18:30:00,3,3,34.32,424.15
2025-01-04 19:00:00,3,3,46.67,423.88
2025-01-04 19:30:00,1,1,51.19,457.97
2025-01-04 20:00:00,2,2,51.05,469.73
2025-01-04 20:30:00,2,2,34.85,494.75
2025-01-04 21:00:00,1,1,28.75,394.54
2025-01-04 21:30:00,1,1,31.62,463.07
2025-01-04 22:00:00,1,1,41.53,448.73
2025-01-04 22:30:00,1,1,43.88,463.64
2025-01-04 23:00:00,1,1,31.86,366.15
2025-01-04 23:30:00,1,1,47.47,413.28
2025-01-05 00:00:00,1,1,38.09,306.76
2025-01-05 00:30:00,1,1,39.84,557.05
2025-01-05 01:00:00,1,1,42.55,448.88
2025-01-05 01:30:00,1,1,46.83,367.61
2025-01-05 02:00:00,1,1,42.58,435.22
2025-01-05 02:30:00,1,1,44.89,340.75
2025-01-05 03:00:00,2,2,33.65,431.49
2025-01-05 03:30:00,1,1,44.75,455.38
2025-01-05 04:00:00,2,2,38.7,459.91
2025-01-05 04:30:00,3,3,42.53,469.69
2025-01-05 05:00:00,2,2,36.41,312.1
2025-01-05 05:30:00,2,2,38.38,497.92
2025-01-05 06:00:00,3,3,32.44,428.87
2025-01-05 06:30:00,4,4,40.83,440.16
2025-01-05 07:00:00,3,3,49.39,420.5
2025-01-05 07:30:00,2,2,44.84,510.97
2025-01-05 08:00:00,5,6,40.74,453.63
2025-01-05 08:30:00,3,3,44.18,324.06
2025-01-05 09:00:00,5,5,42.24,345.55
2025-01-05 09:30:00,5,5,41.7,412.31
2025-01-05 10:00:00,6,6,51.58,477.43
2025-01-05 10:30:00,3,3,40.27,446.73
2025-01-05 11:00:00,4,5,43.04,429.39
2025-01-05 11:30:00,5,5,39.71,466.41
2025-01-05 12:00:00,6,7,43.23,451.25
2025-01-05 12:30:00,4,4,39.14,404.81
2025-01-05 13:00:00,5,5,45.22,412.23
2025-01-05 13:30:00,5,6,43.42,419.01
2025-01-05 14:00:00,6,7,45.42,550.56
2025-01-05 14:30:00,4,4,48.76,495.68
2025-01-05 15:00:00,3,3,53.48,404.72
2025-01-05 15:30:00,5,6,41.7,437.96
2025-01-05 16:00:00,2,2,47.32,386.44
2025-01-05 16:30:00,2,2,39.14,401.98
2025-01-05 17:00:00,3,3,54.02,427.47
2025-01-05 17:30:00,3,3,42.08,448.93
2025-01-05 18:00:00,2,2,44.28,447.25
2025-01-05 18:30:00,3,3,33.37,447.13
2025-01-05 19:00:00,3,3,42.79,459.41
2025-01-05 19:30:00,2,2,40.96,335.07
2025-01-05 20:00:00,1,1,32.24,376.93
2025-01-05 20:30:00,2,2,39.46,433.82
2025-01-05 21:00:00,1,1,39.12,452.06
2025-01-05 21:30:00,1,1,35.3,444.43
2025-01-05 22:00:00,1,1,42.9,319.28
2025-01-05 22:30:00,1,1,39.26,373.88
2025-01-05 23:00:00,1,1,34.51,377.74
2025-01-05 23:30:00,1,1,42.91,412.14
2025-01-06 00:00:00,1,1,49.76,377.83
2025-01-06 00:30:00,1,1,49.05,463.3
2025-01-06 01:00:00,1,1,43.2,467.22
2025-01-06 01:30:00,1,1,37.45,434.89
2025-01-06 02:00:00,1,1,32.74,472.73
2025-01-06 02:30:00,1,1,42.38,462.01
2025-01-06 03:00:00,1,1,39.89,420.39
2025-01-06 03:30:00,1,1,49.85,436.83
2025-01-06 04:00:00,1,1,40.64,367.54
2025-01-06 04:30:00,1,1,41.15,296.28
2025-01-06 05:00:00,1,1,53.38,411.3
2025-01-06 05:30:00,2,2,41.31,483.99
2025-01-06 06:00:00,1,1,44.36,302.28
2025-01-06 06:30:00,1,1,39.45,385.55
2025-01-06 07:00:00,2,2,44.24,431.19
2025-01-06 07:30:00,1,1,39.11,273.76
2025-01-06 08:00:00,3,3,53.49,589.23
2025-01-06 08:30:00,2,2,38.24,361.36
2025-01-06 09:00:00,2,2,44.7,440.04
2025-01-06 09:30:00,4,4,44.79,368.27
2025-01-06 10:00:00,5,5,47.07,434.93
2025-01-06 10:30:00,2,2,35.32,503.15
2025-01-06 11:00:00,2,2,47.33,398.65
2025-01-06 11:30:00,4,4,47.35,478.98
2025-01-06 12:00:00,1,1,36.27,371.06
2025-01-06 12:30:00,3,3,34.0,453.9
2025-01-06 13:00:00,4,4,37.01,468.36
2025-01-06 13:30:00,2,2,45.79,452.26
2025-01-06 14:00:00,4,5,52.84,398.03
2025-01-06 14:30:00,5,6,47.31,362.67
2025-01-06 15:00:00,3,3,43.52,437.63
2025-01-06 15:30:00,5,5,40.8,421.91
2025-01-06 16:00:00,4,5,43.16,452.44
2025-01-06 16:30:00,1,1,47.52,512.29
2025-01-06 17:00:00,2,2,47.8,498.44
2025-01-06 17:30:00,2,2,47.37,373.29
2025-01-06 18:00:00,1,1,40.08,460.74
2025-01-06 18:30:00,2,2,49.32,450.58
2025-01-06 19:00:00,1,1,39.06,420.75
2025-01-06 19:30:00,2,2,42.99,451.38
2025-01-06 20:00:00,1,1,47.46,357.99
2025-01-06 20:30:00,1,1,40.91,444.42
2025-01-06 21:00:00,1,1,40.75,433.37
2025-01-06 21:30:00,1,1,47.08,425.8
2025-01-06 22:00:00,1,1,45.31,403.7
2025-01-06 22:30:00,1,1,45.46,357.1
2025-01-06 23:00:00,1,1,45.72,454.39
2025-01-06 23:30:00,1,1,42.0,392.83
2025-01-07 00:00:00,1,1,38.98,404.24
2025-01-07 00:30:00,1,1,44.44,438.73
2025-01-07 01:00:00,1,1,34.07,394.81
2025-01-07 01:30:00,1,1,46.49,501.65
2025-01-07 02:00:00,1,1,40.48,374.71
2025-01-07 02:30:00,1,1,43.63,513.66
2025-01-07 03:00:00,1,1,38.15,437.56
2025-01-07 03:30:00,1,1,36.88,343.51
2025-01-07 04:00:00,1,1,54.38,343.88
2025-01-07 04:30:00,1,1,40.48,427.68
2025-01-07 05:00:00,1,1,43.38,445.09
2025-01-07 05:30:00,1,1,35.57,375.05
2025-01-07 06:00:00,1,1,50.85,400.68
2025-01-07 06:30:00,2,2,40.5,453.32
2025-01-07 07:00:00,3,3,43.74,414.05
2025-01-07 07:30:00,2,2,41.37,389.92
2025-01-07 08:00:00,2,2,45.75,481.35
2025-01-07 08:30:00,2,2,45.29,478.78
2025-01-07 09:00:00,2,2,47.25,452.13
2025-01-07 09:30:00,3,3,39.85,450.96
2025-01-07 10:00:00,5,6,42.12,461.48
2025-01-07 10:30:00,3,3,36.18,404.4
2025-01-07 11:00:00,2,2,52.46,516.68
2025-01-07 11:30:00,1,1,35.37,517.9
2025-01-07 12:00:00,4,5,36.88,383.13
2025-01-07 12:30:00,2,2,38.65,430.66
2025-01-07 13:00:00,4,5,39.83,359.87
2025-01-07 13:30:00,4,4,44.46,424.47
2025-01-07 14:00:00,2,2,50.65,449.71
2025-01-07 14:30:00,3,3,45.41,357.71
2025-01-07 15:00:00,2,2,41.63,523.56
2025-01-07 15:30:00,4,4,41.21,496.61
2025-01-07 16:00:00,2,2,53.38,403.21
2025-01-07 16:30:00,1,1,34.02,467.63
2025-01-07 17:00:00,2,2,35.18,505.34
2025-01-07 17:30:00,2,2,38.05,438.97
2025-01-07 18:00:00,2,2,36.48,391.29
2025-01-07 18:30:00,1,1,43.12,442.72
2025-01-07 19:00:00,1,1,42.92,362.13
2025-01-07 19:30:00,2,2,44.5,451.39
2025-01-07 20:00:00,1,1,45.35,373.5
2025-01-07 20:30:00,1,1,36.44,403.94
2025-01-07 21:00:00,1,1,43.68,397.03
2025-01-07 21:30:00,1,1,41.38,454.33
2025-01-07 22:00:00,1,1,43.38,365.47
2025-01-07 22:30:00,1,1,36.99,396.45
2025-01-07 23:00:00,1,1,35.36,439.26
2025-01-07 23:30:00,1,1,40.27,368.91
2025-01-08 00:00:00,1,1,38.36,371.19
2025-01-08 00:30:00,1,1,37.75,409.29
2025-01-08 01:00:00,1,1,49.33,456.38
2025-01-08 01:30:00,1,1,48.21,409.06
2025-01-08 02:00:00,1,1,54.58,351.61
2025-01-08 02:30:00,1,1,35.73,395.8
2025-01-08 03:00:00,1,1,41.61,445.2
2025-01-08 03:30:00,1,1,43.03,358.91
2025-01-08 04:00:00,1,1,46.09,478.34
2025-01-08 04:30:00,1,1,39.35,295.91
2025-01-08 05:00:00,2,2,31.76,445.03
2025-01-08 05:30:00,1,1,37.67,489.84
2025-01-08 06:00:00,2,2,49.17,476.58
2025-01-08 06:30:00,1,1,40.61,419.36
2025-01-08 07:00:00,2,2,47.5,429.25
2025-01-08 07:30:00,3,3,40.22,461.59
2025-01-08 08:00:00,2,2,39.87,457.01
2025-01-08 08:30:00,2,2,50.58,343.71
2025-01-08 09:00:00,3,3,41.71,417.19
2025-01-08 09:30:00,4,4,49.9,450.8
2025-01-08 10:00:00,1,1,42.23,424.03
2025-01-08 10:30:00,3,3,55.61,478.94
2025-01-08 11:00:00,2,2,45.23,485.34
2025-01-08 11:30:00,2,2,50.63,371.82
2025-01-08 12:00:00,4,4,42.32,411.88
2025-01-08 12:30:00,4,4,44.62,455.31
2025-01-08 13:00:00,4,4,42.22,494.67
2025-01-08 13:30:00,3,3,44.74,493.8
2025-01-08 14:00:00,3,3,46.24,417.07
2025-01-08 14:30:00,3,3,43.39,402.41
2025-01-08 15:00:00,3,3,48.71,455.9
2025-01-08 15:30:00,2,2,43.96,467.26
2025-01-08 16:00:00,1,1,42.68,490.51
2025-01-08 16:30:00,2,2,43.55,399.41
2025-01-08 17:00:00,1,1,37.44,454.08
2025-01-08 17:30:00,2,2,38.1,418.74
2025-01-08 18:00:00,2,2,36.72,438.99
2025-01-08 18:30:00,1,1,46.04,380.91
2025-01-08 19:00:00,1,1,44.92,386.92
2025-01-08 19:30:00,1,1,35.26,393.62
2025-01-08 20:00:00,1,1,44.78,385.37
2025-01-08 20:30:00,2,2,42.66,436.41
2025-01-08 21:00:00,1,1,34.53,453.44
2025-01-08 21:30:00,1,1,40.5,421.67
2025-01-08 22:00:00,1,1,36.43,449.58
2025-01-08 22:30:00,1,1,42.88,506.97
2025-01-08 23:00:00,1,1,43.93,427.7
2025-01-08 23:30:00,1,1,37.56,414.23
2025-01-09 00:00:00,3,3,41.57,426.48
2025-01-09 00:30:00,4,4,45.58,535.7
2025-01-09 01:00:00,2,2,39.12,434.83
2025-01-09 01:30:00,5,6,46.67,482.71
2025-01-09 02:00:00,1,1,47.77,350.89
2025-01-09 02:30:00,2,2,43.82,390.61
2025-01-09 03:00:00,4,4,41.49,423.52
2025-01-09 03:30:00,5,5,38.36,417.71
2025-01-09 04:00:00,2,2,44.35,357.28
2025-01-09 04:30:00,5,5,53.02,434.93
2025-01-09 05:00:00,3,3,42.62,380.99
2025-01-09 05:30:00,3,3,43.07,458.21
2025-01-09 06:00:00,4,4,45.04,509.97
2025-01-09 06:30:00,3,3,40.9,420.26
2025-01-09 07:00:00,5,5,38.43,515.12
2025-01-09 07:30:00,7,8,47.63,494.71
2025-01-09 08:00:00,8,8,46.66,348.34
2025-01-09 08:30:00,5,5,36.6,513.65
2025-01-09 09:00:00,7,7,41.6,479.97
2025-01-09 09:30:00,4,4,42.53,476.34
2025-01-09 10:00:00,7,7,54.95,487.14
2025-01-09 10:30:00,7,8,34.79,488.09
2025-01-09 11:00:00,5,5,47.84,498.7
2025-01-09 11:30:00,4,4,42.97,431.02
2025-01-09 12:00:00,5,5,43.26,501.25
2025-01-09 12:30:00,4,4,38.44,446.36
2025-01-09 13:00:00,4,4,46.32,413.29
2025-01-09 13:30:00,3,3,38.06,465.39
2025-01-09 14:00:00,6,7,51.53,463.0
2025-01-09 14:30:00,4,4,53.0,475.11
2025-01-09 15:00:00,8,9,49.87,478.48
2025-01-09 15:30:00,8,8,36.16,432.47
2025-01-09 16:00:00,8,8,48.02,508.4
2025-01-09 16:30:00,7,8,49.04,386.52
2025-01-09 17:00:00,4,4,42.77,485.31
2025-01-09 17:30:00,6,6,47.9,520.71
2025-01-09 18:00:00,4,4,54.08,394.42
2025-01-09 18:30:00,3,3,46.09,459.73
2025-01-09 19:00:00,3,3,36.84,375.82
2025-01-09 19:30:00,5,5,41.89,426.78
2025-01-09 20:00:00,5,5,39.75,435.57
2025-01-09 20:30:00,2,2,51.28,456.79
2025-01-09 21:00:00,3,3,48.31,451.98
2025-01-09 21:30:00,2,2,34.88,537.49
2025-01-09 22:00:00,3,3,48.42,346.7
2025-01-09 22:30:00,3,3,39.79,528.56
2025-01-09 23:00:00,2,2,51.09,409.81
2025-01-09 23:30:00,3,3,46.82,369.62
2025-01-10 00:00:00,1,1,34.94,348.11
2025-01-10 00:30:00,1,1,41.25,406.78
2025-01-10 01:00:00,1,1,41.21,375.19
2025-01-10 01:30:00,1,1,37.71,415.33
2025-01-10 02:00:00,1,1,49.61,424.42
2025-01-10 02:30:00,1,1,38.99,367.78
2025-01-10 03:00:00,1,1,44.17,388.28
2025-01-10 03:30:00,1,1,35.34,375.54
2025-01-10 04:00:00,1,1,44.94,407.49
2025-01-10 04:30:00,1,1,38.41,523.79
2025-01-10 05:00:00,2,2,43.17,386.22
2025-01-10 05:30:00,1,1,46.38,379.04
2025-01-10 06:00:00,2,2,39.78,432.91
2025-01-10 06:30:00,2,2,51.12,439.95
2025-01-10 07:00:00,2,2,42.62,431.45
2025-01-10 07:30:00,1,1,38.28,431.68
2025-01-10 08:00:00,3,3,40.04,437.33
2025-01-10 08:30:00,2,2,45.06,340.62
2025-01-10 09:00:00,2,2,41.98,409.84
2025-01-10 09:30:00,5,5,48.12,360.41
2025-01-10 10:00:00,5,5,49.18,446.35
2025-01-10 10:30:00,2,2,38.22,473.74
2025-01-10 11:00:00,4,4,47.89,400.15
2025-01-10 11:30:00,5,5,44.67,484.93
2025-01-10 12:00:00,2,2,38.3,451.81
2025-01-10 12:30:00,4,4,46.47,402.59
2025-01-10 13:00:00,2,2,44.15,430.21
2025-01-10 13:30:00,5,5,36.64,396.08
2025-01-10 14:00:00,3,3,43.83,451.33
2025-01-10 14:30:00,3,3,39.73,450.99
2025-01-10 15:00:00,3,3,32.04,457.69
2025-01-10 15:30:00,4,4,37.92,369.04
2025-01-10 16:00:00,2,2,33.72,422.93
2025-01-10 16:30:00,3,3,29.57,436.85
2025-01-10 17:00:00,2,2,50.54,468.13
2025-01-10 17:30:00,1,1,44.13,413.76
2025-01-10 18:00:00,1,1,35.4,456.41
2025-01-10 18:30:00,1,1,45.65,297.61
2025-01-10 19:00:00,2,2,37.69,431.24
2025-01-10 19:30:00,1,1,41.49,462.14
2025-01-10 20:00:00,2,2,40.92,442.52
2025-01-10 20:30:00,1,1,42.29,485.73
2025-01-10 21:00:00,1,1,40.49,407.35
2025-01-10 21:30:00,1,1,45.47,450.23
2025-01-10 22:00:00,1,1,42.07,398.16
2025-01-10 22:30:00,1,1,34.58,510.7
2025-01-10 23:00:00,1,1,47.71,439.48
2025-01-10 23:30:00,1,1,47.12,373.48
2025-01-11 00:00:00,1,1,43.16,396.49
2025-01-11 00:30:00,1,1,47.39,415.93
2025-01-11 01:00:00,1,1,39.98,449.31
2025-01-11 01:30:00,1,1,34.2,373.6
2025-01-11 02:00:00,1,1,39.69,379.74
2025-01-11 02:30:00,1,1,48.75,377.74
2025-01-11 03:00:00,1,1,31.32,454.34
2025-01-11 03:30:00,3,3,39.66,425.95
2025-01-11 04:00:00,2,2,44.1,395.56
2025-01-11 04:30:00,2,2,37.23,496.95
2025-01-11 05:00:00,2,2,46.46,377.83
2025-01-11 05:30:00,3,3,41.65,426.53
2025-01-11 06:00:00,3,3,33.85,486.47
2025-01-11 06:30:00,3,3,40.53,454.39
2025-01-11 07:00:00,4,4,44.7,469.77
2025-01-11 07:30:00,2,2,38.71,489.29
2025-01-11 08:00:00,3,3,36.14,422.57
2025-01-11 08:30:00,4,4,43.91,440.84
2025-01-11 09:00:00,6,6,44.2,447.42
2025-01-11 09:30:00,4,4,46.65,446.48
2025-01-11 10:00:00,3,3,51.85,466.35
2025-01-11 10:30:00,3,3,38.39,403.97
2025-01-11 11:00:00,3,3,35.28,451.21
2025-01-11 11:30:00,4,4,45.36,479.84
2025-01-11 12:00:00,2,2,41.84,388.22
2025-01-11 12:30:00,6,6,57.38,416.92
2025-01-11 13:00:00,2,2,34.69,421.13
2025-01-11 13:30:00,2,2,41.29,422.03
2025-01-11 14:00:00,5,5,40.46,420.93
2025-01-11 14:30:00,6,7,41.62,446.53
2025-01-11 15:00:00,2,2,43.85,396.68
2025-01-11 15:30:00,2,2,42.28,359.66
2025-01-11 16:00:00,2,2,36.85,450.26
2025-01-11 16:30:00,4,4,47.65,425.65
2025-01-11 17:00:00,5,6,43.81,468.73
2025-01-11 17:30:00,4,4,37.37,393.08
2025-01-11 18:00:00,2,2,33.56,433.82
2025-01-11 18:30:00,3,3,42.76,485.72
2025-01-11 19:00:00,2,2,41.11,364.75
2025-01-11 19:30:00,2,2,36.62,498.4
2025-01-11 20:00:00,2,2,36.25,355.0
2025-01-11 20:30:00,2,2,41.35,489.0
2025-01-11 21:00:00,2,2,35.19,481.59
2025-01-11 21:30:00,3,3,42.13,474.0
2025-01-11 22:00:00,1,1,36.48,446.96
2025-01-11 22:30:00,1,1,39.81,425.49
2025-01-11 23:00:00,1,1,38.88,455.58
2025-01-11 23:30:00,1,1,46.81,495.34
2025-01-12 00:00:00,1,1,35.83,395.68
2025-01-12 00:30:00,1,1,33.2,376.68
2025-01-12 01:00:00,1,1,34.93,405.2
2025-01-12 01:30:00,1,1,34.34,392.96
2025-01-12 02:00:00,1,1,47.37,434.25
2025-01-12 02:30:00,2,2,38.26,398.05
2025-01-12 03:00:00,2,2,35.47,486.51
2025-01-12 03:30:00,2,2,44.67,368.7
2025-01-12 04:00:00,1,1,37.66,433.94
2025-01-12 04:30:00,1,1,46.92,470.32
2025-01-12 05:00:00,2,2,41.28,399.5
2025-01-12 05:30:00,5,5,36.67,417.45
2025-01-12 06:00:00,3,3,43.58,412.16
2025-01-12 06:30:00,1,1,51.58,429.06
2025-01-12 07:00:00,2,2,51.01,516.83
2025-01-12 07:30:00,4,4,32.61,480.38
2025-01-12 08:00:00,4,4,44.79,469.58
2025-01-12 08:30:00,2,2,45.44,520.08
2025-01-12 09:00:00,4,4,51.4,343.18
2025-01-12 09:30:00,5,6,57.49,397.92
2025-01-12 10:00:00,3,3,46.5,481.55
2025-01-12 10:30:00,5,5,44.81,422.0
2025-01-12 11:00:00,4,5,50.25,411.74
2025-01-12 11:30:00,5,5,46.8,559.51
2025-01-12 12:00:00,4,4,48.02,371.62
2025-01-12 12:30:00,7,7,45.16,449.87
2025-01-12 13:00:00,3,3,40.22,440.44
2025-01-12 13:30:00,3,3,55.31,433.12
2025-01-12 14:00:00,2,2,43.95,466.6
